GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	62920	52919620	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	52919677	53152863	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	53153810	73062569	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	73067011	73147877	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	73148457	77026180	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	77026341	77371421	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	77372715	85564912	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	85567461	86482148	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	86482292	204714749	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	204714785	205464307	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	205465615	230924038	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	230925311	230942839	4	2	2
ce214654-2330-4f92-a74f-38bee8de2fee	chr1	230943856	248930189	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	12784	390695	2	2	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	392767	31022647	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	31022784	31027855	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	31029795	34226361	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	34227541	34235474	4	2	2
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	34236339	57937611	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	57938460	57942815	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	57942869	132742935	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	132743729	132931805	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	132931890	206140083	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	206145280	206278506	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	206279080	208355514	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	208356856	208653718	2	2	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr2	208654035	242147305	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr3	20930	7744851	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr3	7744867	7954315	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr3	7954649	198169247	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr4	68929	168575684	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr4	168576184	190106768	2	2	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	15532	11913515	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	11916241	12996778	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	12997698	22710749	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	22711331	22738495	4	2	2
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	22745621	80097118	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	80097321	80106893	4	2	2
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	80111068	97712762	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	97714396	97758030	0	0	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr5	97763616	181363319	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	149661	30372309	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	30372620	30544386	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	30559068	44643016	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	44644626	45396059	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	45396359	51804764	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	51804801	51807778	0	0	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr6	51807812	170741917	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr7	43259	102739939	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr7	102740558	103539773	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr7	103540569	109136237	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr7	109141959	109549759	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr7	109550034	159334314	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr8	81254	5932733	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr8	5935362	5952021	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr8	5952040	10632082	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr8	10632326	11216069	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr8	11219126	145072769	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr9	46587	19913611	2	2	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr9	19914528	21991924	0	0	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr9	21993965	31101280	2	2	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr9	31102364	138200944	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	45792	2141720	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	2142029	2146870	6	4	2
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	2146961	9842613	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	9846882	10343046	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	10343116	10512365	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	10513154	10711550	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	10712569	16435167	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	16436393	16816588	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	16816758	18263748	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	18266581	20538176	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	20538218	20672703	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	20672865	36283780	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	36286492	36465837	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	36466597	42350947	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	42355411	43768727	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	43772132	44564293	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr10	44564457	133654968	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	198510	4731619	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	4736708	4863490	1	1	0
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	4863800	19418249	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	19418585	19419680	4	2	2
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	19420311	42881151	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	42881153	42955811	4	3	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	42955889	122882472	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	122882694	122900820	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr11	122902916	135074876	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr12	51460	17668167	2	1	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr12	17669856	18164059	3	2	1
ce214654-2330-4f92-a74f-38bee8de2fee	chr12	18164118	41731325	2	1	1
