GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr1	61735	121741181	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr1	143285278	248930189	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr2	12784	14607087	5	4	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr2	14609445	242147305	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr3	18667	15505833	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr3	15507111	95327126	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr3	95327821	198169247	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr4	12281	133682968	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr4	133684427	139538628	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr4	139540360	151467754	4	4	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr4	151467956	153136563	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr4	153136996	190106768	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr5	15532	16286864	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr5	16286930	18333736	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr5	18334239	181363319	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr6	149661	162348016	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr6	162348719	162848352	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr6	162849111	170741917	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr7	43259	62250906	5	4	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr7	62251255	64128005	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr7	64129325	159334314	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr8	81254	145072769	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr9	46587	33294093	4	2	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr9	33296382	37973527	6	4	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr9	37974746	42995504	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr9	60840363	138200944	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr10	26823	133769379	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr11	198572	135074876	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr12	51460	63359604	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr12	63359638	133201603	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	18452809	65492930	4	3	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	65493320	70269462	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	70270439	76833517	4	3	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	76833604	82099147	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	82106388	98599646	4	3	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	98604114	104703987	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr13	104704288	114342922	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr14	18225647	106877229	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr15	19811075	67154447	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr15	67154493	101928837	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr16	10777	6455467	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr16	6458154	6683299	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr16	6683692	29837096	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr16	29837473	90221127	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr17	150733	27016345	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr17	27019353	35947209	4	2	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr17	35948301	53323503	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr17	53325277	83090856	4	2	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	48133	7111511	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	7120242	13378637	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	13379158	24696148	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	24696178	26605014	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	26605169	40742865	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	40743506	46287348	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	46295349	49954978	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	49959709	51272515	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	51273621	53286917	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	53288564	54143012	1	1	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	54143346	55265622	0	0	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr18	55267116	80257174	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr19	90910	27474607	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr19	27507658	30770989	4	3	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr19	30773240	30848794	7	7	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr19	30849845	33908937	11	10	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr19	33911154	40955923	6	5	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr19	40961572	58586487	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	80664	14145158	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	14155118	14462442	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	14473274	15250305	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	15250988	19545338	5	3	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	19545422	20816100	3	2	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	20821159	25374860	4	2	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	25375317	25655148	8	6	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	25656987	31287363	4	3	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	31288041	52246818	6	4	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	52248102	56826453	5	3	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr20	56826503	64324800	6	4	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr21	10336543	46677045	2	1	1
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chr22	15294545	50796027	2	2	0
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chrX	251810	1497753	7	5	2
8e5110ec-50de-4f35-81ff-d8bd3a687f4b	chrX	1504524	156004181	4	2	2
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	61735	70883725	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	70884411	72318539	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	72323013	203976373	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	203976497	204383887	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	204384824	228326017	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	228339589	229422053	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr1	229422821	248930189	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	12784	77552717	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	77553373	78532002	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	78532148	145166416	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	145167501	149938623	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	149938874	150995847	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	150998197	152634778	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	152636251	163509571	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	163510248	164011328	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	164014077	171904616	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	171906206	175424707	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	175435873	192703336	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	192704515	196876541	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	196879009	203655320	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	203656813	208623768	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	208630909	219669746	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	219671260	221302056	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	221303382	228746175	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	228746260	232931765	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr2	232932495	242147305	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr3	18667	60440859	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr3	60441084	60478542	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr3	60479546	134008134	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr3	134009022	135886500	2	2	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr3	135887193	198169247	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	12281	21465774	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	21468162	21600811	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	21601200	161591887	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	161594156	163386420	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	163391080	177131837	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	177133349	180580709	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	180582886	180779335	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	180786233	182940156	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	182941086	186731501	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	186734358	187520392	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	187526606	188656137	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr4	188657825	190106768	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr5	15532	177610774	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr5	177613112	178539227	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr5	178539920	181363319	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr6	149661	116119047	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr6	116132304	116351776	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr6	116353215	162260693	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr6	162264551	162460071	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr6	162460430	170741917	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr7	43259	76570158	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr7	76574500	77471353	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr7	77471657	159334314	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr8	81254	43931659	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr8	43968905	145072769	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr9	46587	138200944	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	26823	63537817	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	63541565	63738213	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	63745855	75879753	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	75883121	76383099	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	76383179	114167592	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	114170169	114720864	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr10	114721465	133769379	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	198572	656845	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	656940	2817754	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	2820558	10782649	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	10783167	13166551	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	13166929	16695868	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	16699997	18966148	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	18967025	81533592	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	81533775	81717828	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr11	81718113	135074876	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr12	51460	133201603	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr13	18452809	114342922	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr14	18225647	45271903	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr14	45273484	45672400	0	0	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr14	45675938	106877229	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr15	19811075	47252833	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr15	47266653	56951621	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr15	56955142	57107276	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr15	57109592	101928837	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr16	10777	90221127	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr17	150733	21612925	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr17	21613009	64661066	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr17	64663439	83090856	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr18	48133	80257174	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr19	90910	16642095	2	2	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr19	16642769	53219203	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr19	53219800	53315791	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr19	53316310	58586487	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr20	80664	14436713	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr20	14448057	15181285	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr20	15182862	15189463	2	2	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr20	15189497	64324800	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr21	10336543	46677045	2	1	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chr22	15294545	50796027	2	2	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chrX	251810	62657815	3	2	1
7e09c206-dc97-4bfe-bda5-997187a4e56a	chrX	62662637	64215969	1	1	0
7e09c206-dc97-4bfe-bda5-997187a4e56a	chrX	64220965	156004181	3	2	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	61735	54942785	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	54946507	119200656	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	119203041	198437528	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	198440757	217165448	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	217165470	226521310	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	226523169	226937984	6	4	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	226938296	228033311	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	228033618	228465716	6	4	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	228466410	231818681	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	231819980	233758389	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	233764607	235500574	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr1	235515448	248930189	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr2	12784	242147305	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr3	18667	198169247	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	12281	16024230	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	16030682	16755017	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	16755193	42889909	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	42893621	45976744	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	45977137	63988557	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	63997026	64612689	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	64613062	64846830	1	1	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	64849958	157486590	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	157492887	157861698	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr4	157862170	190106768	4	2	2
77d8c735-b271-4b13-affa-8f15a60e1860	chr5	15532	181363319	3	2	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr6	149661	170741917	3	2	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr7	43259	62701749	6	3	3
77d8c735-b271-4b13-affa-8f15a60e1860	chr7	62701896	159334314	4	3	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	81254	861698	2	2	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	863394	31719608	1	1	0
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	31721369	32156696	3	2	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	32157331	32376597	8	7	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	32379614	33914476	3	2	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	33922230	34165911	7	6	1
77d8c735-b271-4b13-affa-8f15a60e1860	chr8	34167178	35068614	1	1	0
